timestamp,kraken_btc,kraken_eth,kraken_sol,kraken_xrp,cb_btc,cb_eth,cb_sol,cb_xrp,cash_balance
2026-03-06T17:27:06.018634+00:00,1.35308,,,,68222.48,1969.94,84.19,1.3528,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:07.026528+00:00,84.2,,,,68217.74,1969.64,84.19,1.3529,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:08.035005+00:00,68239.4,,,,68211.7,1969.61,84.19,1.3527,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:09.042870+00:00,68225.5,,,,68211.69,1969.61,84.19,1.3527,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:10.048797+00:00,68225.5,,,,68201.17,1969.52,84.18,1.3527,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:11.052150+00:00,84.2,,,,68207.97,1969.18,84.18,1.3527,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:12.059652+00:00,1970.03,,,,68194.0,1968.97,84.17,1.3526,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:13.067897+00:00,1970.03,,,,68192.08,1968.75,84.17,1.3526,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:14.076014+00:00,1970.03,,,,68198.01,1969.01,84.17,1.3526,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:15.084497+00:00,68222.0,,,,68197.99,1968.89,84.17,1.3526,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:16.093751+00:00,1.35264,,,,68200.02,1969.07,84.17,1.3527,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:17.103013+00:00,1.35264,,,,68195.82,1968.98,84.17,1.3526,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:18.111802+00:00,1.35264,,,,68200.37,1968.98,84.17,1.3526,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:19.120459+00:00,1970.13,,,,68214.02,1969.67,84.18,1.3528,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:20.126188+00:00,84.2,,,,68209.24,1969.67,84.19,1.3528,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:21.133536+00:00,84.2,,,,68215.21,1969.82,84.19,1.3529,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:22.139690+00:00,1971.23,,,,68222.02,1970.21,84.19,1.3529,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:23.148785+00:00,68218.9,,,,68219.56,1970.21,84.19,1.3529,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:24.153604+00:00,1.35321,,,,68222.2,1970.21,84.2,1.3529,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:25.161854+00:00,84.2,,,,68222.2,1970.31,84.18,1.353,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:26.169776+00:00,68225.4,,,,68233.26,1970.8,84.2,1.3532,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:27.177861+00:00,84.2,,,,68232.11,1970.83,84.2,1.3532,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:28.183527+00:00,68225.5,,,,68224.83,1969.68,84.19,1.353,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:29.191853+00:00,68225.5,,,,68224.22,1969.83,84.19,1.3528,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:30.198431+00:00,68225.5,,,,68222.95,1969.4,84.19,1.3528,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:31.207505+00:00,68225.5,,,,68217.98,1969.48,84.18,1.3528,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:32.217217+00:00,68225.5,,,,68215.89,1969.24,84.17,1.3528,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:33.225628+00:00,84.2,,,,68214.8,1969.41,84.18,1.3528,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:34.232275+00:00,84.2,,,,68209.09,1969.37,84.18,1.3528,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:35.241758+00:00,1969.74,,,,68207.14,1969.15,84.17,1.3527,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:36.247121+00:00,1969.74,,,,68213.56,1969.65,84.17,1.3527,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:37.254506+00:00,68225.5,,,,68219.53,1969.6,84.17,1.3529,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:38.261770+00:00,68225.5,,,,68214.88,1969.62,84.18,1.353,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:39.266851+00:00,68225.5,,,,68214.88,1969.62,84.18,1.3529,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:40.273554+00:00,68225.5,,,,68216.86,1969.72,84.16,1.3528,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:41.279453+00:00,68225.4,,,,68219.37,1969.89,84.16,1.3528,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:42.287846+00:00,68225.4,,,,68221.75,1969.62,84.15,1.3528,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:43.296998+00:00,68225.5,,,,68224.83,1970.15,84.17,1.353,err:KALSHI_API_KEY_ID is not set
2026-03-06T17:27:44.305884+00:00,1969.94,,,,68225.12,1969.92,84.17,1.353,err:KALSHI_API_KEY_ID is not set
